embedder,lora,verbalization_A,template_B,B_lever,dataset,subclass_R20,superclass_R20,pooled_R20,subclass_R10,superclass_R10
llama-embed-nemotron-8b,on,turtle,T2,sub_b_pin,mouse-human,0.7982,0.5098,0.3344,0.6936,0.4069
qwen3-embedding-8b,off,path_context,T1,default,g1-web,1.0,0.8846,0.1576,1.0,0.8462
qwen3-embedding-8b,off,path_context,T1,default,g2-diseases,0.6667,1.0,0.0763,0.5926,0.9091
qwen3-embedding-8b,off,path_context,T1,default,g3-text,0.8729,0.4906,0.5236,0.6118,0.3333
qwen3-embedding-8b,off,path_context,T1,default,g5-groceries,0.7143,0.6106,0.3654,0.6429,0.4779
qwen3-embedding-8b,off,path_context,T1,default,g7-literature,0.8889,0.9808,0.561,0.8333,0.6731
qwen3-embedding-8b,off,path_context,T1,default,mouse-human,0.8826,0.5196,0.3524,0.7908,0.4363
qwen3-embedding-8b,off,path_context,T2,sub_b_pin,g1-web,1.0,0.9231,0.1545,1.0,0.8462
qwen3-embedding-8b,off,path_context,T2,sub_b_pin,g2-diseases,0.7407,0.9091,0.0791,0.7037,0.9091
qwen3-embedding-8b,off,path_context,T2,sub_b_pin,g3-text,0.9459,0.4906,0.6339,0.7482,0.3408
qwen3-embedding-8b,off,path_context,T2,sub_b_pin,g5-groceries,0.6429,0.6283,0.2949,0.6429,0.4513
qwen3-embedding-8b,off,path_context,T2,sub_b_pin,g7-literature,0.8889,0.9808,0.5976,0.8333,0.6923
qwen3-embedding-8b,off,path_context,T2,sub_b_pin,mouse-human,0.8771,0.5294,0.3486,0.7615,0.4526
qwen3-embedding-8b,off,turtle,T1,default,g1-web,1.0,0.9615,0.1545,1.0,0.8846
qwen3-embedding-8b,off,turtle,T1,default,g2-diseases,0.8519,1.0,0.0932,0.8148,1.0
qwen3-embedding-8b,off,turtle,T1,default,g3-text,0.84,0.4682,0.5459,0.6635,0.3333
qwen3-embedding-8b,off,turtle,T1,default,g5-groceries,0.7857,0.6283,0.4808,0.6429,0.4513
qwen3-embedding-8b,off,turtle,T1,default,g7-literature,0.8333,0.9615,0.6341,0.8333,0.7885
qwen3-embedding-8b,off,turtle,T1,default,mouse-human,0.7798,0.5474,0.335,0.6991,0.4461
qwen3-embedding-8b,off,turtle,T2,sub_b_pin,g1-web,0.9655,0.9231,0.1515,0.9655,0.9231
qwen3-embedding-8b,off,turtle,T2,sub_b_pin,g2-diseases,0.963,1.0,0.0989,0.7778,0.8182
qwen3-embedding-8b,off,turtle,T2,sub_b_pin,g3-text,0.8565,0.4607,0.5525,0.6847,0.3371
qwen3-embedding-8b,off,turtle,T2,sub_b_pin,g5-groceries,0.6429,0.6283,0.359,0.5714,0.4336
qwen3-embedding-8b,off,turtle,T2,sub_b_pin,g7-literature,0.8333,0.9615,0.5244,0.8333,0.7692
qwen3-embedding-8b,off,turtle,T2,sub_b_pin,mouse-human,0.8092,0.5621,0.3562,0.7431,0.4624
qwen3-embedding-8b,on,path_context,T1,default,g1-web,0.5172,0.9231,0.0939,0.4828,0.8846
qwen3-embedding-8b,on,path_context,T1,default,g2-diseases,0.7407,1.0,0.0791,0.5926,0.9091
qwen3-embedding-8b,on,path_context,T1,default,g3-text,0.8447,0.5056,0.5551,0.6776,0.3708
qwen3-embedding-8b,on,path_context,T1,default,g5-groceries,0.9286,0.6018,0.4487,0.7857,0.4513
qwen3-embedding-8b,on,path_context,T1,default,g7-literature,0.8889,0.9808,0.7439,0.8333,0.7308
qwen3-embedding-8b,on,path_context,T1,default,mouse-human,0.8477,0.4526,0.2968,0.7303,0.3546
qwen3-embedding-8b,on,path_context,T2,sub_b_pin,g1-web,0.7241,0.9615,0.1061,0.6552,0.9615
qwen3-embedding-8b,on,path_context,T2,sub_b_pin,g2-diseases,0.8148,0.8182,0.0706,0.6667,0.8182
qwen3-embedding-8b,on,path_context,T2,sub_b_pin,g3-text,0.8753,0.5131,0.5958,0.7624,0.367
